Partner,Provisioned,Discovery,Agent Created,Agent in Prod,Used,Consumed 50+
Ksquare Solutions LLC,12,5,5,2,1,0
Capptus,11,8,7,2,2,1
Orange Digital CX,10,13,8,8,5,1
Freeway,10,8,7,7,7,4
VASS,10,5,5,5,5,1
Tech Solutions for Strategy (TS4),9,5,7,5,4,1
Salesforce Services,8,7,6,4,4,0
Pro Contacto,7,5,5,4,4,0
CALEUFU LLC,6,3,4,3,3,1
Globant,6,4,5,4,4,0
Viseo,5,2,3,2,2,0
