Partner,Provisioned,Discovery,Agent Created,Agent in Prod,Used,Consumed 50+
Zarasa,12,8,8,7,3,0
Gerenciall,6,4,4,3,3,0
VASS,5,0,2,0,0,0
Fast Cloud,4,4,2,1,1,0
RK Rivera,4,2,2,2,1,0
Devs United,4,2,2,2,1,0
Bendita Essence,4,3,3,3,1,0
Evolving Consulting,4,6,1,1,0,0
Freeway,3,1,2,1,1,0
"Doblegroup, INC.",3,1,2,1,1,0
Incompany Solutions,3,1,1,1,0,0
