Partner,Provisioned,Discovery,Agent Created,Agent in Prod,Used,Consumed 50+
CALEUFU LLC,26,22,23,22,21,11
Devs United,17,9,8,8,4,1
VURPIX,14,9,9,6,4,0
NTT Group,14,7,11,6,6,0
Nespon Inc,12,9,9,7,7,3
Freeway,11,5,6,5,4,0
VASS,10,6,6,4,3,0
Pro Contacto,9,6,6,4,4,0
Globant,8,8,6,6,6,2
Bella Dati,8,6,6,5,5,1
ORKIDEA LLC,7,3,3,3,1,0
